claim_id,project,metric,value,unit,evidence,scope
EDGE-SUCCESS,edge-diffusion,Push-T high-quality completion,0.95,ratio,evidence/edge-quality.json,60 official-checkpoint simulator episodes
EDGE-SUCCESS-RERUN,edge-diffusion,Same-seed Push-T rerun high-quality completion,0.9,ratio,evidence/independent-rerun.json,20 same-seed official-checkpoint episodes; independent rerun
EDGE-4090-EAGER,edge-diffusion,100-step eager denoising P50,566.708740234375,ms,evidence/edge-fixed-node.json,fixed RTX 4090 node
EDGE-4090-TRT,edge-diffusion,100-step TensorRT denoising P50,235.7980194091797,ms,evidence/edge-fixed-node.json,fixed RTX 4090 node
EDGE-4090-SPEEDUP,edge-diffusion,TensorRT denoising speedup,2.403365141294791,x,evidence/edge-fixed-node.json,P50 ratio on same node
EDGE-STEPS-100-P50,edge-diffusion,100-step Push-T controller P50,1076.4756677672267,ms,evidence/edge-step-quality.json,20 paired Push-T episodes; quality gate passed
EDGE-STEPS-20-P50,edge-diffusion,20-step Push-T controller P50,217.60246809571981,ms,evidence/edge-step-quality.json,20 paired Push-T episodes; quality gate rejected
EDGE-STEPS-10-P50,edge-diffusion,10-step Push-T controller P50,88.39210029691458,ms,evidence/edge-step-quality.json,20 paired Push-T episodes; quality gate rejected
EDGE-STEPS-8-P50,edge-diffusion,8-step Push-T controller P50,80.4067887365818,ms,evidence/edge-step-quality.json,20 paired Push-T episodes; quality gate rejected
EDGE-STEPS-6-P50,edge-diffusion,6-step Push-T controller P50,65.24052750319242,ms,evidence/edge-step-quality.json,20 paired Push-T episodes; quality gate rejected
EDGE-ORIN-P50,edge-diffusion,Orin FP16 U-Net wall P50,3.3709359995555133,ms,evidence/edge-orin.json,U-Net inference only; no simulator/robot I/O
EDGE-ORIN-P95,edge-diffusion,Orin FP16 U-Net wall P95,4.4148895583930425,ms,evidence/edge-orin.json,U-Net inference only; no simulator/robot I/O
EDGE-ORIN-MISS,edge-diffusion,Orin 50 ms deadline misses,0,count/500,evidence/edge-orin.json,measured board inference
EDGE-ORIN-LOOP-100-P50,edge-diffusion,Orin 100-step scheduler-plus-U-Net P50,557.8093604999594,ms,evidence/edge-orin-denoising-steps.json,"physical Orin, synthetic tensors, complete denoising loop; 50 ms timing gate missed"
